Team,Matches Played,Matches Won,Matches Lost,Points Won,Points Lost
Shama Anjoom & Sarah Jacob,3,2,1,45,55
Parvathi Ambareesh & Sithara Mohan,2,2,0,42,9
Merin Jose & Sneha Achamma Cherian,2,0,2,33,42
Cristeena & Amrutha,3,1,2,44,58
