Team,Matches Played,Matches Won,Matches Lost,Points Won,Points Lost
Pravitha V Namboothiri & Neeraj Gopan,2,2,0,42,37
Alan & Sandra Sharon,2,0,2,25,42
Mohammed Ashiq A & Denila Davis,2,1,1,39,27
