Team,Matches Played,Matches Won,Matches Lost,Points Won,Points Lost
Bipin M V & Ananthu Sunil,3,2,1,55,55
Emmanuel Joseph & Dion Paul George,3,3,0,63,32
Laby K Joy & Rakesh S,3,1,2,51,53
Gokul A A & Sajith M S,3,0,3,35,63
