Team,Matches Played,Matches Won,Matches Lost,Points Won,Points Lost
Swetha Shenoy & Ginu George,2,2,0,42,16
Amrita Surendran & Deepthi Dinakaran,1,0,1,9,21
Pappy A Lakshmi & Arya Suresh,0,0,0,0,0
Riya & Ann,1,0,1,7,21
